I need an answer.	Necesito una respuesta.
I like to travel.	Me gusta viajar.
We understand that.	Lo comprendemos.
We want meat.	Queremos carne.
I remember.	Lo recuerdo.
Who shall we pick?	¿A quién cogemos?
Everybody's smiling.	Todos están sonriendo.
Do you understand?	¿Comprendéis?
I'm not dying.	No me estoy muriendo.
Can you cook well?	¿Sabes cocinar bien?
Remember these rules.	Recuerda estas reglas.
Tom trusted Mary.	Tom confiaba en María.
Do you want to quit?	¿Quieres abandonar?
There's no harm done.	No pasa nada.
It works fine.	Funciona bien.
We'll start over.	Recomenzaremos.
Write this down.	Anotad esto.
Did you understand everything?	¿Entendiste todo?
They already knew.	Ellos ya sabían.
Write in ink.	Escriba con tinta.
Tom hates running.	Tom odia correr.
I love Australia.	Amo Australia.
Tom had appendicitis.	Tom tuvo apendicitis.
I can't forgive her.	No puedo perdonarla.
What happened last night?	¿Qué pasó anoche?
I live here now.	Ahora vivo aquí.
We've been better.	Hemos estado mejor.
It's going nicely!	¡Todo va bien!
This is very interesting.	Es muy interesante.
You'll get lost.	Te perderás.
Loosen it.	Aflójalo.
It's very beautiful.	Es muy bonito.
You may return.	Quizá vuelva.
Tom loves singing.	Tom ama cantar.
Let's talk about Australia.	Hablemos de Australia.
Look at that!	¡Fíjate en eso!
Do you understand everything?	¿Entiendes todo?
This sounds familiar.	Esto me suena.
I took a chance.	Me arriesgué.
I get it.	Lo entiendo.
What a woman!	¡Qué mujer!
Hold me close.	Abrazame fuertemente.
I can't breathe.	No puedo respirar.
We must sit down.	Tenemos que sentarnos.
Something's happening.	Algo está pasando.
Let's finish up.	Terminemos.
How embarrassing!	¡Qué bochorno!
He smiled.	Sonrió.
My tummy hurts.	Me duele mi estómago.
Wash your feet.	Lavaos los pies.
Tom always exaggerates.	Tom siempre exagera.
He loves traveling.	Él adora viajar.
I exercised.	Hice ejercicio.
This is rice.	Esto es arroz.
You can't blame him.	No puede culparle.
Do you have a wife?	¿Tienes esposa?
Are you in danger?	¿Está en peligro?
He kept talking.	Él seguía hablando.
Tom will come.	Tom vendrá.
We don't drink milk.	No bebemos leche.
We must try.	Hay que intentarlo.
Take over.	Encárgate tú.
They don't like you.	No les gustas.
I'm trying to concentrate.	Estoy intentando concentrarme.
I wake up early.	Despierto temprano.
You've done something wrong.	Hiciste algo mal.
I hate reading.	Odio leer.
Forget me.	Olvídate de mí.
What are you looking for?	¿Qué buscás?
The situation worsened.	La situación empeoró.
Do you need a car?	¿Necesitas carro?
Do you have one?	¿Tienes uno?
Tom moved.	Tom se movió.
Tom's incompetent.	Tom es incompetente.
You should pay for it.	Deberías pagarlo.
I cried a lot.	Yo lloré bastante.
Enjoy yourself.	Pásenla bien.
Listen carefully.	Escucha con atención.
Love lasts.	El amor dura.
We couldn't find it.	No pudimos encontrarlo.
How about a refill?	¿Me echas más?
We're doctors.	Nosotros somos doctores.
They work at night.	Trabajan de noche.
Who'll come?	¿Quién viene?
Give me five days.	Dame cinco días.
Where will you go?	¿A dónde irás?
Are you learning French?	¿Estás aprendiendo francés?
It belonged to Tom.	Pertenecía a Tomás.
I work here.	Trabajo aquí.
You're very short.	Eres muy bajo.
I like them.	Me gustan.
Do you drink?	¿Bebéis?
Don't concern yourself.	No te preocupes.
He lives by himself.	Él vive solo.
It's okay.	Vale.
Did you want to drive?	¿Quisiste conducir?
I have difficulty concentrating.	Me cuesta concentrarme.
Is Tom famous?	¿Tom es famoso?
You're so mysterious.	Eres tan misterioso.
Tom is likeable.	Tom es agradable.
We'll wait for you.	Te esperaremos.
Forewarned is forearmed.	Peligro reconocido, peligro evitado.
Somebody's coming.	Viene alguien.
He's my son.	Él es mi hijo.
You're mine now.	Ya eres mío.
Stop saying that.	Dejen de decir eso.
They're old.	Son viejos.
It's very frustrating.	Es muy frustrante.
Tom was working.	Tom estaba trabajando.
I was alone.	Estuve solo.
How pathetic!	¡Qué patético!
We've been waiting.	Hemos estado esperando.
Does it offend you?	¿Te ofende?
Prices are rising.	Los precios suben.
I'm trying to remember.	Estoy intentando recordar.
It's not true.	No es verdad.
I sell cars.	Vendo autos.
Tom needs you.	Tom te necesita.
You'll see.	Ya lo veréis.
We have no money.	No tenemos dinero.
I sat down.	Me sentaba.
Be ruthless.	Sé despiadado.
They are all dead.	Todos están muertos.
I have a cat.	Tengo un gato.
They waited.	Esperaron.
He's not stupid.	Él no es estúpido.
Do you like them?	¿Te gustan?
I remember everything.	Me acuerdo de todo.
I'm getting divorced.	Me estoy divorciando.
You're quite smart.	Sos bastante listo.
You're morons.	Ustedes son idiotas.
This dog bites.	Este perro muerde.
It's odd.	Es extraño.
You must do it.	Debes hacérselo.
I talked.	Charlé.
I'm almost done.	Estoy casi listo.
I wasn't trapped.	No estaba atrapado.
Colds are contagious.	Los resfriados son contagiosos.
It's up to you.	Tú decides.
They smell bad.	Ellos huelen mal.
Tom took a bath.	Tom se bañó.
I have a pen.	Tengo un bolígrafo.
I'm gaining weight.	Estoy engordando.
I exaggerated.	Yo exageré.
You're stupid.	Eres estúpido.
She went blind.	Se quedó ciega.
It can be dangerous.	Puede ser peligroso.
Is he Japanese?	¿Es él japonés?
I feel feverish.	Estoy febril.
Keep singing.	Continúe cantando.
Rest here.	Descansa aquí.
They loved you.	Les encantabas.
That's my problem.	Ese es mi problema.
Suit yourself.	Haz lo que quieras.
It doesn't even matter.	Ni siquiera importa.
Don't get caught.	Que no te atrapen.
Get on the bus.	¡Súbase al bus!
Is it raining now?	¿Está lloviendo ahora?
We like it.	Nos gusta.
I'm dying.	Me estoy muriendo.
Sweet dreams!	¡Felices sueños!
Come here soon.	Ven pronto aquí.
I made a mistake.	Erré.
I've got the map.	Tengo el mapa.
I remember something.	Recuerdo algo.
Can you stay?	¿Te puedes quedar?
I'll stay home.	Me quedaré en casa.
I hate raccoons.	Odio los mapaches.
You'll regret it.	Te arrepentirás.
Do you want to resign?	¿Quieres dimitir?
I need a laptop.	Necesito una laptop.
Break it down.	Échalo abajo.
Mary is vivacious.	Mary es vivaz.
Is it popular?	¿Es popular?
Cancel your reservations.	Cancelen sus reservas.
Take off your shoes.	Quítate los zapatos.
He loves us.	Él nos quiere.
I want to know.	Quiero saberlo.
I'm the oldest.	Soy el más viejo.
Say cheese.	Sonría.
Anything will do.	Cualquier cosa vale.
Tom flinched.	Tom se encogió.
You need protection.	Necesitas protección.
We're lost.	Estamos perdidos.
This is very exciting.	Es muy emocionante.
Mary can dance well.	Mary baila bien.
She seems excited.	Ella se ve emocionada.
Don't give up.	No te rindas.
Wish me luck.	¡Deseadme buena suerte!
Tom ate quickly.	Tom comió rápidamente.
He said nothing.	No dijo nada.
Choose one.	Escoge una.
Nobody ran.	No corrió nadie.
Tom is good.	Tom es bueno.
She went blind.	Ella se quedó ciega.
I feel happy.	Yo estoy contento.
Call an ambulance.	Llamen a una ambulancia.
I'm dancing.	Estoy bailando.
Tom wanted more.	Tom quería más.
Plug up that leak.	Tapen esa gotera.
I am Japanese.	Soy japonesa.
You can go now.	Ahora pueden irse.
Who betrayed us?	¿Quién nos traicionó?
I cooked dinner.	Cociné la cena.
Is that mine?	¿Es mío ése?
We could try.	Podemos intentarlo.
Cross the street.	Cruza la calle.
You are crazy.	Estáis zumbadas.
I respect your opinion.	Respeto vuestra opinión.
You're innocent.	Son inocentes.
Can you manage alone?	¿Puedes hacerlo solo?
You're brave.	Eres valiente.
I want to cry.	Quiero llorar.
Let's wait and see.	Esperemos y veamos.
Let me see.	A ver.
Tom betrayed Mary.	Tom traicionó a Mary.
It drives me crazy.	Me vuelve loco.
Bananas are delicious.	Las bananas son deliciosas.
I'm not a cook.	No soy cocinera.
They rented a house.	Alquilaron una casa.
Why did you stop?	¿Por qué paraste?
Did you want something?	¿Querías algo?
Tom stutters.	Tom balbucea.
You'd better go.	Mejor vete.
Did I wake you?	¿Te he despertado?
What are those?	¿Qué son ésos?
I'm absolutely sure!	¡Estoy completamente seguro!
Stay.	Quedaos.
It was really scary.	Daba mucho miedo.
Normalcy doesn't exist.	La normalidad no existe.
Aren't you hungry?	¿No tiene usted hambre?
We weren't fighting.	No estábamos peleando.
Sorry?	¿Disculpa?
They are sensible girls.	Son chicas sensatas.
They're afraid of him.	Le tienen miedo.
I'm thorough.	Soy concienzudo.
Give me another example.	Deme otro ejemplo.
I'm speaking from experience.	Hablo por experiencia.
I'm all tuckered out.	Estoy hecho polvo.
Keep it up!	¡Continúa!
Tom has escaped.	Tom se ha escapado.
You're safe now.	Ahora están a salvo.
Go away.	Váyase.
Let's go by bus.	Vayamos en colectivo.
Tom is weak.	Tom está débil.
Do you promise?	¿Lo prometes?
Stop resisting!	¡Deja de resistirte!
Put on this sweater.	Ponte este suéter.
This is so sad.	Es tan triste...
We reported his disappearance.	Reportamos su desaparición.
Just please be quiet.	Por favor, cállate.
I'm thrilled.	Estoy entusiasmado.
You talk too much.	Hablas demasiado.
They seem happy.	Ellos se ven felices.
We were in Boston.	Estuvimos en Boston.
Mary is beautiful.	Mary es hermosa.
Spring is here.	Llegó la primavera.
Have a donut.	Toma una rosquilla.
Help me dismantle it.	Ayúdeme a desmantelarlo.
This is yours.	Esto es vuestro.
Take the bus.	Tomate el bondi.
Tom should try it.	Tom debería intentarlo.
I won't ask.	Yo no preguntaré.
Where should we hide?	¿Dónde deberíamos escondernos?
Be honest with me.	Sean sinceras conmigo.
It's outdated.	Está obsoleto.
They had several children.	Tuvieron muchos hijos.
Where's your dog?	¿Dónde está tu perro?
You're good.	Eres buena.
Help us.	Ayúdanos.
Tom said goodnight.	Tom dijo buenas noches.
They're here.	Aquí están.
We're prisoners.	Somos prisioneros.
No one warned me.	Nadie me advirtió.
It's true!	¡Es verdad!
Tom abandoned them.	Tom las abandonó.
I feel helpless.	Me siento indefenso.
What would you like?	¿Qué te gustaría?
Be a good boy.	Pórtate bien.
I can hear it.	Puedo oírlo.
It's very unlikely.	Es muy improbable.
Is Tom reachable?	¿Puedes contactar con Tom?
That isn't true.	Eso no es verdad.
Drink up your milk.	Tómate tu leche.
Tom is nice.	Tom es amable.
Tom is a troublemaker.	Tom es conflictivo.
He's studying.	Él está estudiando.
Where did you study?	¿Dónde estudiaste?
You didn't listen.	Vos no escuchaste.
Just let me sleep.	Déjame dormir.
We must sit down.	Debemos sentarnos.
He's from Lisbon.	Es de Lisboa.
Her face turned pale.	Su rostro palideció.
What a strange story!	¡Qué extraña historia!
Now, you try.	Ahora inténtalo tú.
You shouldn't go.	No deberías ir.
Don't cry.	No lloren.
Tom was crying.	Tom estaba llorando.
I'm happy, Tom.	Tom, soy feliz.
We've lost them.	Los perdimos.
She repulses him.	Ella le rechaza.
Explain it to me.	Explíquemelo.
I used to smoke.	Yo fumaba.
I want to stand out.	Quiero destacar.
Go on in.	Entre.
Make an appointment.	Solicite una cita.
Who knows?	Aabe...
It's totally normal.	Es totalmente normal.
He will survive.	Sobrevivirá.
They look smashing.	Se ven estupendos.
Tom eventually resigned.	Al final, Tom renunció.
Is that snow?	¿Eso es nieve?
I want my stuff.	Quiero mis cosas.
He sang off key.	Él cantó desafinado.
Tom stopped eating.	Tom dejó de comer.
They applauded.	Ellos aplaudieron.
Drink up your milk.	Bébete tu leche.
Hi, I'm Tom.	Hola, soy Tom.
They cheat.	Engañaron.
Are you taking vitamins?	¿Estás tomando vitaminas?
We'll work tomorrow.	Mañana trabajamos.
Tom continued eating.	Tom siguió comiendo.
You're unbelievably stupid.	Eres increíblemente estúpido.
Hold the candle.	¡Sostén la vela!
I have bad breath.	Tengo mal aliento.
I remember those times.	Recuerdo aquellos tiempos.
He's in danger.	Él está en peligro.
Mow the lawn.	Corta el césped.
Where's my father?	¿Dónde está mi padre?
Leave me alone!	¡Dejame en paz!
It's completely visible.	Es completamente visible.
Where've you been?	¿Dónde has estado?
Do you want soup?	¿Querés sopa?
Is she Japanese?	¿Es ella japonesa?
I felt cold.	Tenía frío.
It was really sweet.	Fue muy agradable.
I need his name.	Necesito su nombre.
Give it to him.	Dáselo a él.
What've you done?	¿Qué habéis hecho?
Tom is creative.	Tom es creativo.
Did Tom vote?	¿Votó Tom?
Nobody saw me.	Nadie me vio.
I keep the books.	Conservo los libros.
Someday, I'll know.	Un día lo sabré.
Shut your mouth.	Cierra la boca.
I can't believe it!	¡No puedo creerlo!
Doesn't it taste good?	¿No sabe bien?
Start at the beginning.	Comienza del principio.
We were here yesterday.	Ayer estábamos aquí.
Tom could help you.	Tom podría ayudaros.
Were you crying?	¿Estabais llorando?
Tom isn't crying.	Tom no está llorando.
She has no figure.	No tiene planta.
We're hiding.	Nosotros estamos escondidos.
I have 13 employees.	Tengo 13 empleados.
It's not clean.	No está limpia.
Read it again.	Léelo nuevamente.
She looked sad.	Ella parecía triste.
Start again.	Empieza de nuevo.
He's broke.	Está sin blanca.
Is breakfast ready?	¿Está preparado el desayuno?
It smells good!	Huele bien.
You're not alone.	No estás solo.
It smells delicious.	Huele de maravilla.
I come from Boston.	Vengo de Boston.
The company went bankrupt.	La compañía quebró.
Find Tom.	Encuentren a Tom.
Try and calm down.	Intenta calmarte.
Say it in English.	Dígalo en inglés.
It's rush hour.	Es la hora pico.
I'll lose weight.	Voy a perder peso.
What has Tom said?	¿Qué dijo Tom?
Please copy this.	Por favor, copiad esto.
That was ours.	Eso era nuestro.
The door squeaked.	La puerta chirrió.
He wore glasses.	Él llevaba gafas.
It just bugs me.	Me molesta.
Are you taking pictures?	¿Estás sacando fotos?
You are hearing things.	Estás oyendo cosas.
I chickened out.	Me acobardé.
Those are gifts.	Esos son regalos.
Tom was frightened.	Tom estaba aterrado.
Who's he?	¿Quién es él?
Something went wrong.	Algo salió mal.
I didn't know.	Yo no supe.
The curtain fell.	La cortina cayó.
Maybe it'll snow.	Quizá nieve.
Try and stay dry.	Intenta mantenerte seco.
Sweep the floor.	Barre el piso.
Is it still raining?	¿Todavía está lloviendo?
These are good.	Éstos son buenos.
Tom isn't breathing.	Tom no está respirando.
I'm a surfer.	Soy surfista.
Your ticket, please.	Su billete, por favor.
You're interrupting me.	Me estás interrumpiendo.
Read it and weep.	Léelo y llora.
What a surprise!	¡Qué sorpresa!
I hid.	Me escondí.
Let's change the subject.	Cambiamos la pregunta.
I felt invincible.	Me sentía invencible.
No one died.	Nadie murió.
Tom's early.	Tom llega temprano.
How does this work?	¿Cómo funciona esto?
Tom wants to play.	Tom quiere jugar.
We want further information.	Queremos más información.
Tom was last.	Tom quedó último.
Keep singing.	Seguid cantando.
You are stupid.	Eres un estúpido.
Stop apologizing.	No te disculpes.
I am coming today.	Estoy llegando hoy.
I hate hypocrisy.	Odio la hipocresía.
You must come in.	Debes entrar.
We have failed.	Hemos fracasado.
We don't live here.	No vivimos aquí.
Watch this.	Mire esto.
Good for you.	Bien por ti.
Drink in moderation.	Bebe con moderación.
We must leave early.	Debemos irnos temprano.
I'd be careful.	Sería cuidadoso.
I am not working.	No estoy trabajando.
Use this one.	Utilicen este.
She is having dinner.	Ella está cenando.
I'm still here.	Todavía estoy acá.
Bring your wallet.	Trae tu cartera.
We're looking into that.	En eso estamos.
I have one.	Tengo uno.
Who's winning?	¿Quién va ganando?
Give me a job.	Dame un trabajo.
That's enough.	Es suficiente.
Tom will hurry.	Tom se dará prisa.
What an idiot!	¡Qué idiota!
What a fiasco!	¡Qué fiasco!
They have come.	Ellas han venido.
Do you smoke?	¿Usted fuma?
Tom staggered.	Tom vaciló.
I brought you flowers.	Te traje flores.
I'm autistic.	Soy autista.
Don't blink.	No parpadées.
Go away.	Lárguese.
There's no risk.	No hay riesgo.
Mary is mine.	Mary es mía.
I'm embarrassed.	Estoy avergonzado.
How deep?	¿Cómo de profundo?
Tom is unfair.	Tom es injusto.
I like seafood.	Me gustan los mariscos.
Help me.	Échame una mano.
We debated the problem.	Debatimos el problema.
We've got plenty.	Tenemos un montón.
Somebody is eating.	Alguien está comiendo.
You're gullible.	Ustedes son ingenuos.
Please copy this.	Por favor, copiá esto.
I saw him.	Lo vi.
Wood is flammable.	La madera es inflamable.
We meant well.	Teníamos buena intención.
Are you people lost?	¿Ustedes están perdidas?
OK, see you later.	Bueno, hasta luego.
How did you decide?	¿Cómo decidiste?
They will come.	Vienen.
