('regresalo', 'put it back')
('te gusta el zumo ?', 'do you like juice ?')
('un grillo enjaulado come tanto como un grillo libre', 'a caged cricket eats just as much as a free cricket')
('los padres de tom querian que el estudiara mas', 'tom s parents wanted him to study harder')
('yo no me creo todo lo que tom dice', 'i don t believe everything tom says')
('nos tomamos la foto en la playa', 'we had our photo taken on the beach')
('no me daba cuenta cuanto echaba de menos tomas a maria', 'i didn t realize how much tom missed mary')
('desearia tener una casa propia', 'i wish i had a house of my own')
('tom se fue a casa enojado', 'tom went home angry')
('que propones ?', 'what are you suggesting ?')
('vi el coche de tom aparcar en el camino de entrada', 'i saw tom s car pull into the driveway')
('eso no es plata', 'that s not silver')
('no deberias leer con tan poca luz', 'you shouldn t read in such poor light')
('yo como comida thai cada vez que tengo la oportunidad', 'i eat thai food every chance i get')
('sirvase otra copa', 'have another cup')
('tom es el mas alto de los dos chicos', 'tom is the taller of the two boys')
('pasatelo bien en tu cita', 'have a good time on your date')
('tom se emborracho y se ahogo mientras se banaba', 'tom got drunk and drowned while taking a bath')
('que camion mas grande !', 'what a big truck !')
('puedes ensenarme a volar ?', 'can you teach me how to fly ?')
('tienes tu pasaporte ?', 'do you have your passport ?')
('tom es timido', 'tom is shy')
('quiere que se lo explique de nuevo ?', 'do you want me to explain it again ?')
('tom sofoco a mary con una almohada de plumas', 'tom suffocated mary with a feather pillow')
('me encargare de el', 'i ll take him')
('a menudo jugamos ajedrez despues de clases', 'we often play chess after school')
('que opinas de esos escritores japoneses ?', 'what do you think of those japanese writers ?')
('me encanta ser profesor', 'i love being a teacher')
('tom le dio dinero a mary para que pudiera comprarse unos dulces', 'tom gave mary some money so she could buy herself some candy')
('este libro es muy nuevo', 'this book is very new')
('volvamos', 'let s come back')
('hoy no me siento bien', 'i don t feel well today')
('mama dice que deberia salir de la cama', 'mom says you should get out of bed')
('exijo que sea castigado', 'i demand that he be punished')
('hay muchos problemas que no se pueden eludir', 'there are a lot of problems we can t avoid')
('tal vez tom no vaya a querer hacer eso', 'tom is probably not going to want to do that')
('esperaba sorprenderles', 'i was hoping to surprise you')
('es un asunto muy urgente', 'it s a very pressing matter')
('es mi mejor amigo', 'he s my best friend')
('casi siempre soy puntual', 'i m almost always on time')
('esas no son mis reglas son las de tom', 'those aren t my rules they re tom s')
('te amo mas de lo que el te ama', 'i love you more than he loves you')
('ella es una buena nadadora', 'she is a good swimmer')
('fue a verla el otro dia', 'he went to see her the other day')
('soy un buen tipo', 'i m a good guy')
('le hice compania mientras operaban a su esposa', 'i kept him company while his wife was in surgery')
('llego hacia las cuatro', 'he came at about four o clock')
('no me encuentro bien a tanta altura', 'i don t feel well at such a high altitude')
('tom no lo entendia', 'tom didn t understand')
('ella tenia una conciencia limpia', 'she had a clear conscience')
('tom esta llorando de nuevo verdad ?', 'tom is crying again isn t he ?')
('de cuanto es el seguro contra incendios que tiene usted ?', 'how much fire insurance do you have ?')
('este no es mi dinero', 'this isn t my money')
('me pregunto si estaria libre el domingo que viene', 'she asked me if i would be free next sunday')
('a ella le robaron el bolso', 'she had her handbag stolen')
('creo que son una pareja perfecta', 'i believe they re a perfect match')
('tom puede nadar muy bien', 'tom can swim very well')
('por que estais tan cansados hoy ?', 'why are you so tired today ?')
('tom tuvo un accidente automovilistico', 'tom had a car accident')
('me pregunto donde esta tom y con quien esta', 'i wonder where tom is and who he s with')
('estare aqui hasta la semana que viene', 'i ll be here until next week')
('dejame explicar', 'let me explain')
('tom jackson es tu verdadero nombre ?', 'is tom jackson your real name ?')
('ella es muy buena moza', 'she is very pretty')
('tom se hizo paso a traves de la multitud', 'tom made his way through the crowd')
('todos sabian que ella podia hablar bien ingles', 'everybody knew she could speak english well')
('tom se esta escondiendo en el closet', 'tom is hiding in the closet')
('crees que puedo usar el movil mientras me ducho ?', 'do you think i can use my phone in the shower ?')
('estoy completa y totalmente de acuerdo', 'i m in absolutely total agreement')
('puedo medirle la tension ?', 'can i check your blood pressure ?')
('esa es la razon por la que no querias que viniera ?', 'is this the reason you didn t want me to come ?')
('es un hombre de accion', 'he is a man of action')
('si no me cree vaya y vealo por si mismo', 'if you don t believe me go and see for yourself')
('creo que me estoy enfermando', 'i think i m getting sick')
('me notaba muy animado', 'i felt really excited')
('debemos continuar', 'we must continue')
('tokio es una ciudad enorme', 'tokyo is a huge city')
('me ensenaras frances ?', 'will you teach me french ?')
('esa cancion me recuerda a un famoso actor de cine', 'that song reminds me of a famous movie actor')
('lo pillamos tratando de salir de su cuarto', 'we caught him trying to go out of his room')
('es un hombre casado', 'he s a married man')
('te estas congelando ?', 'are you freezing ?')
('ha pasado mucho tiempo desde que te vi sonreir', 'it s been a long time since i ve seen you smile')
('ayer me quede trabajando todo el dia', 'i spent all day working yesterday')
('que os traigo de beber ?', 'what can i get you to drink ?')
('el papa de tom esta en la carcel', 'tom s father is in jail')
('espira', 'exhale')
('cuanta gente vino a tu fiesta ?', 'how many people came to your party ?')
('abandona su trabajo a menudo', 'he frequently neglects his work')
('necesitamos contratar a alguien que hable frances', 'we need to hire someone who can speak french')
('cual es mi premio ?', 'what s my prize ?')
('lo que tom verdaderamente queria era dinero suficiente para comprar una casa', 'what tom really wanted was enough money to buy a house')
('debemos investigar la desaparicion de aquel medico', 'we have to look into the disappearance of the doctor')
('tus hijos parecen estar sanos', 'your children look healthy')
('no podrias esperar a que los demas esten preparados ?', 'couldn t you wait for everyone else to get ready ?')
('no he venido aqui por tom', 'i didn t come here for tom')
('paraguay logro su independencia de espana en', 'paraguay achieved its independence from spain in')
('no importa mucho', 'it doesn t matter so much')
('como puedo contactarme contigo ?', 'how can i get in touch with you ?')
('sientense ahi', 'sit down over there')
('la mala cosecha causo escasez masiva de alimentos', 'the bad harvest caused massive food shortages')
('ellos viven en la planta de abajo', 'they live on the floor beneath')
('trata de no ponerte tan tensa', 'try not to be so tense')
('intentare seguir tu consejo', 'i ll try to follow your advice')
('no se que puedo hacer', 'i don t know what i can do')
('como es esto posible ?', 'how s this possible ?')
('saldras manana ?', 'will you go out tomorrow ?')
('tenia un mal dia', 'i was having a bad day')
('tuvimos unas cortas vacaciones en octubre', 'we had a short vacation in october')
('hay definiciones distintas de democracia', 'there are different definitions of democracy')
('el anciano me pregunto la hora', 'the old man asked me the time')
('teneis a la persona equivocada', 'you ve got the wrong person')
('mary fue mi primera novia', 'mary was my first girlfriend')
('ojala hubieras estado alli', 'i wish you had been there')
('tom no se pasa por aqui frecuentemente', 'tom doesn t often come here')
('perdimos con el marcador tres a uno', 'we lost by a score of three to one')
('esto es de gran ayuda', 'this is very helpful')
('estoy muy interesado en la musica', 'i m very interested in music')
('no tengo nada que hacer en este asunto', 'i have nothing to do with that case')
('ella se ducha cada manana', 'she takes a shower every morning')
('tom nunca ha mirado hacia aqui', 'tom never looked this way')
('nego que conociera a aquel hombre', 'he denied that he knew that man')
('deberias leer los sonetos de shakespeare', 'you should read shakespeare s sonnets')
('estabamos seguros de ganar el juego', 'we were certain of winning the game')
('tom no trabaja aqui', 'tom doesn t work here')
('se abrieron sesenta nuevos museos', 'sixty new museums opened')
('comparamos el trabajo de el con el de ella', 'we compared his work with hers')
('argui con el sobre ello', 'i argued with him about it')
('mi madre rara vez ve television de noche', 'my mother seldom watches tv at night')
('se me olvido llamarte', 'i forgot to call you')
('necesito decirte algo', 'i need to tell you something')
('tom la llamaba mary a pesar de no ser ese su verdadero nombre', 'tom called her mary even though that wasn t really her name')
('cuanto mas lo veo mas lo quiero', 'the more i see it the more i want it')
('toma algo de tiempo enamorarse', 'falling in love takes some time')
('me ha encantado su forma de cantar', 'i really liked his style of singing')
('vi el juego de principio a fin', 'i watched the game from beginning to end')
('esperaba encontrarte ahi', 'i had hoped to meet you there')
('dejame hablar a mi', 'let me do the talking')
('me gustaria conocer a su padre', 'i would like to meet his father')
('queremos medir tu presion sanguinea', 'we want to measure your blood pressure')
('deberias explicarmelo', 'you should explain it to me')
('somos futbolistas', 'we are soccer players')
('lo compraste en el mercado negro ?', 'did you buy it on the black market ?')
('deberias haber rechazado esa injusta propuesta', 'you should have refused such an unfair proposal')
('la poblacion de japon es mucho mayor que la de australia', 'the population of japan is much larger than that of australia')
('ayer termine el trabajo', 'i finished the job yesterday')
